species,smiles,parent,parent 2,isotopologue,source,N,logN,final vectors 70,final vectors iso 70
(34S)O2,O=[34S]=O,O=S=O,O=S=O,y,Drozdovskaya et al. (18),4.00E+14,14.60205999,"[-2.1771107, 0.29786956, 0.09040763, -0.63020146, 1.8258264, 0.030762492, -1.4342855, 0.55180246, 1.1279005, 0.76097566, 0.8895248, 0.50913596, 0.724607, 0.3290258, 1.5864329, 0.011875227, -1.0629704, 1.0382056, 1.3090911, -0.5055106, -0.17150088, 0.37106693, 0.80644345, 0.10767857, -1.8356844, -0.8171258, -0.9415436, 0.09202528, 0.5930662, -0.45967472, 0.05641339, -1.8004856, 0.44053662, 0.039753146, 0.5271794, 0.22769757, -0.91580737, 1.7845532, -0.5457201, -0.2646021, -0.22314233, -1.1476657, 0.6285999, -0.8673106, -0.40547517, -0.97921956, 1.8338606, -0.44182405, -0.7313169, 1.1506011, -0.50840884, 0.042283554, 0.4891012, 0.179883, 0.6790174, 0.24402347, -1.3699281, -1.452153, -1.4084672, -0.46297535, -0.38046616, -0.1290411, 0.831561, 0.953702, -0.1122053, -0.21775284, 0.3806239, 0.19528463, -0.84425473, -0.93427]","[-2.6178026, -2.5847244, 2.3014004, -2.0311942, 1.9899375, -0.65852225, -4.3782406, 1.7320877, 3.1358824, 2.4747362, 2.0341501, -0.6153729, 1.4610838, 0.120616995, 3.8401043, 0.34460425, -2.2231548, 1.4646754, 1.4291186, 0.57776666, -1.3846784, 1.5754464, 0.42547995, 0.29820347, -1.9760079, 2.4347963, -2.0723414, -0.10966073, 0.32902727, 0.08836332, -0.2286008, -2.7874608, 2.2616866, 0.7658025, 0.6824516, 0.22115368, 0.6282793, 1.2694459, -0.46024063, 1.4150827, -2.6362653, -2.534671, 0.16847154, 0.57467824, 0.11098297, -2.3503442, 2.1071615, -1.938621, -1.4596477, 4.06392, -1.4995849, -1.6350868, -0.35199055, 3.011463, -0.39127246, -0.055063978, -5.1746845, -0.69045377, -0.2568066, -1.114102, -1.9251132, 2.798351, 1.2823781, 3.1374803, -0.8333368, -1.5264914, 1.6157582, -0.3153533, 1.1812856, -1.2668377, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
C3H4O2,O=CC=CO,Main,Main,n,Coutens et al. (22),1.00E+15,15,"[-7.586752, -0.35837653, -0.7771295, -2.9906983, 4.9630637, 2.0340843, -6.6391573, 0.99845994, 3.4941418, 2.6527839, 1.4991359, -0.41839737, 0.65273196, 2.4439173, 6.5212183, 0.92237246, -5.4520087, 3.3460689, 3.099032, -1.3184171, 0.29621887, -1.0826023, 4.9619823, -1.3316871, -6.656251, -2.5650454, -3.4583228, 4.931287, 1.2205582, -1.5392047, -0.26511723, -3.0849752, -1.2007612, 0.31905594, -4.310193, -1.6697634, -2.65062, 3.5098302, -0.38270038, 0.29118317, 1.173767, -7.148849, -0.92911005, -4.9451437, 2.956463, -4.2194467, 6.157879, 0.99532646, 1.4470261, 2.2275043, -1.8509685, -1.9185979, 3.1745381, 3.3716636, 4.973633, 2.2179532, -5.2136436, -1.7828755, 0.09502718, 0.2948645, 0.608125, 0.8367967, 1.5535772, 4.3101983, -3.2907722, -0.54651445, -1.3252999, -0.32342237, -1.0224582, -1.479892]","[-7.586752, -0.35837653, -0.7771295, -2.9906983, 4.9630637, 2.0340843, -6.6391573, 0.99845994, 3.4941418, 2.6527839, 1.4991359, -0.41839737, 0.65273196, 2.4439173, 6.5212183, 0.92237246, -5.4520087, 3.3460689, 3.099032, -1.3184171, 0.29621887, -1.0826023, 4.9619823, -1.3316871, -6.656251, -2.5650454, -3.4583228, 4.931287, 1.2205582, -1.5392047, -0.26511723, -3.0849752, -1.2007612, 0.31905594, -4.310193, -1.6697634, -2.65062, 3.5098302, -0.38270038, 0.29118317, 1.173767, -7.148849, -0.92911005, -4.9451437, 2.956463, -4.2194467, 6.157879, 0.99532646, 1.4470261, 2.2275043, -1.8509685, -1.9185979, 3.1745381, 3.3716636, 4.973633, 2.2179532, -5.2136436, -1.7828755, 0.09502718, 0.2948645, 0.608125, 0.8367967, 1.5535772, 4.3101983, -3.2907722, -0.54651445, -1.3252999, -0.32342237, -1.0224582, -1.479892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]"
CH2CO,C=C=O,Main,Main,n,Jorgensen et al. (18),4.80E+16,16.68,"[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842]","[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CHDCO,[2H]C=C=O,C=C=O,C=C=O,y,Jorgensen et al. (18),2.00E+15,15.30103,"[-2.8882043, 3.1306634, 3.3330095, -2.4627545, 3.270171, 1.1488222, -3.308771, 3.735961, 3.5343552, 0.7312604, 3.9441285, -0.7373893, 3.0053647, 1.6561512, 1.7951705, -2.879929, -1.1443723, 2.8002415, 2.7348113, -2.8998137, -3.4901562, 1.3778293, 0.09317917, -0.95045936, -1.4981991, 0.0639081, -0.97368866, 3.599689, 1.9465363, -3.8945005, 1.5922313, -1.8868054, -0.73641, -0.3599427, -0.676815, 0.101020135, -0.86361176, 2.3172135, -0.7278747, 0.60519326, 1.7266712, -2.1921768, -0.03855163, -2.0931587, 0.5285391, -0.13970947, 5.122188, -2.4171886, 0.7629234, 2.7597418, -0.6858027, -0.17415836, 0.7661378, 3.4922588, 2.0421498, -0.43576163, -5.5327783, -1.567549, -4.060014, -0.16144109, 0.5286796, -0.7623034, 4.758384, 5.0739427, -0.51886797, -2.0680656, -0.3397118, -0.38033396, -1.0946497, -2.610711]","[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0]"
(13)CH2CO,[13CH2]=C=O,C=C=O,C=C=O,y,Jorgensen et al. (18),7.10E+14,14.85125835,"[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842]","[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0]"
CH2(13C)O,C=[13C]=O,C=C=O,C=C=O,y,Jorgensen et al. (18),7.10E+14,14.85125835,"[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842]","[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0]"
CH3CN,CC#N,Main,Main,n,Calcutt et al. (2018b),4.00E+16,16.6,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263]","[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
(13C)H3CN,[13CH3]C#N,CC#N,CC#N,y,Calcutt et al. (2018b),6.00E+14,14.77815125,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263]","[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0]"
CH3(13C)N,C[13C]#N,CC#N,CC#N,y,Calcutt et al. (2018b),5.00E+14,14.69897,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263]","[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CH3C(15N),CC#[15N],CC#N,CC#N,y,Calcutt et al. (2018b),1.60E+14,14.20411998,"[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263]","[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CH2DCN,[2H]CC#N,CC#N,CC#N,y,Calcutt et al. (2018b),1.40E+15,15.14612804,"[-0.8961605, 1.9345998, 0.82901067, -0.017326057, 3.417981, -0.051461115, -2.4651265, 2.3921669, 3.763498, 0.2031197, 3.580116, -0.25878647, 3.7239294, -0.004318446, 0.85667443, -0.8965523, -2.5541432, 3.4028008, 5.4832535, -1.0405698, -0.95251966, 1.8490951, 2.299585, -1.307353, -3.780857, -4.1742406, -1.533814, 2.4783678, 3.6505957, -1.2289965, 2.5209236, -1.3837044, -2.5889707, -2.97003, -2.6685376, 0.9432839, -1.6896734, 5.665722, -1.2101696, 0.9218541, -1.2318559, -0.8411555, 1.1123552, -0.17743051, 1.4276133, 0.42310694, 0.15825135, -4.3051577, 1.6883119, 2.8416529, -1.2977875, -2.785214, 1.3258646, 1.2304103, -0.105243415, -0.36872244, -5.13137, -2.100632, -5.3600817, -1.3157679, 0.22394797, 0.29257458, 4.239367, 7.1434326, 0.110359654, -1.1592412, -4.9563723, 0.82146484, -1.7782195, 0.55458874]","[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0]"
CHD2CN,[2H]C([2H])C#N,CC#N,CC#N,y,Calcutt et al. (2018b),2.00E+14,14.30103,"[-2.412898, 2.066259, 1.3906133, 0.6267478, 4.090372, 0.5927521, -2.5934508, 3.5968366, 4.1876006, -0.14448622, 4.030068, -0.75287753, 4.660741, -1.0797036, -2.025482, -1.733038, -3.313988, 4.8162746, 7.252482, -2.9930034, -0.7921275, 2.1182668, 3.6021209, -2.7276983, -4.1830897, -5.053893, 0.02655524, 2.8955202, 4.04249, -1.282098, 3.115922, -1.722233, -3.1622949, -3.9019213, -3.3416178, 0.47629765, -1.170501, 6.5745525, -0.6619009, 1.5922934, -1.3391907, -1.0770576, 1.2486606, -0.9482002, 1.9694014, 1.7640904, 0.0982061, -5.15688, 2.8097148, 2.5673146, -1.5499271, -3.4232044, 0.78643745, 2.073963, -1.0365416, -0.36464977, -7.3048873, -3.7208645, -6.9035726, -1.8898028, 0.18167362, 1.0285008, 5.4750094, 9.129929, -0.386416, -1.093993, -5.4768476, 1.8943598, -1.5404814, 0.14984879]","[0.9233338, 1.3846664, 0.09430134, 0.011827499, 3.3406675, -0.44834444, -3.287119, 0.9986994, 3.3744903, 0.8465509, 2.834501, -0.38929957, 2.2708163, 2.0058722, 3.5145795, 0.3361144, -2.6271708, 1.4731603, 2.8990984, 1.3924382, -0.9209193, 1.5242312, 1.4630718, 1.038248, -3.8599217, -3.6140797, -2.6572082, 2.4188876, 3.2849226, -1.1739101, 1.7112596, -1.8458272, -1.5898331, -1.5500505, -1.7392879, 1.3427985, -2.7835622, 4.6967626, -1.4005734, 0.6363788, -1.149415, -0.7910249, 1.6824838, 1.0082275, 1.8358696, -0.8768718, 0.6795648, -2.8546689, 0.6704958, 2.7147794, -0.7393031, -1.813082, 1.3639715, 0.6743154, 1.3149573, -0.22726978, -2.5735364, -0.28092018, -3.3790286, -1.0332546, 0.3300283, 0.0389048, 2.9016914, 5.8025527, 0.48605266, -1.2662454, -4.378443, 0.15516073, -2.4583616, 1.3022263, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 3, 0, 1, 0]"
