smiles,source,N,logN,vectors
[C-]#[S+],Drozdovskaya (18),3.90E+15,15.59,"[0.6782115, 0.3715282, 2.2669625, -0.6108184, -0.16065031, 0.1119389, -0.49385506, 0.6225596, 2.6898708, 1.1380582, -0.12361883, 0.20163132, 0.19523343, -0.390958, 1.0306313, -0.02739913, 0.14393884, 0.36056262, 3.0141206, 1.0385231, -0.56645405, 0.17405407, -0.12485057, -0.1149866, 1.0890579, 0.060486645, 0.31508967, 1.35667, 0.3814726, -0.6708506, 0.9490848, -0.012849025, 0.029843517, 0.18386725, -1.9499238, 1.1600137, -0.5286846, 1.1716418, -0.6161477, 1.0712315, -0.020153295, -0.5803349, 0.2971307, -0.43984693, -1.138487, -0.35099158, -1.1653055, 0.44787347, -0.6269671, 1.1421862, -1.612988, -0.334858, -0.9298165, -0.25330988, 0.63675064, 0.29497394, -1.4699531, -0.522235, -0.71020967, 0.35284972, 0.35362467, -0.2542928, 1.8738804, 1.176966, 0.06316982, 0.2901815, -1.6585591, -0.19158517, 0.14887246, -2.1035442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[C-]#[34S+],Drozdovskaya et al. (18),2.00E+14,14.30103,"[0.6782115, 0.3715282, 2.2669625, -0.6108184, -0.16065031, 0.1119389, -0.49385506, 0.6225596, 2.6898708, 1.1380582, -0.12361883, 0.20163132, 0.19523343, -0.390958, 1.0306313, -0.02739913, 0.14393884, 0.36056262, 3.0141206, 1.0385231, -0.56645405, 0.17405407, -0.12485057, -0.1149866, 1.0890579, 0.060486645, 0.31508967, 1.35667, 0.3814726, -0.6708506, 0.9490848, -0.012849025, 0.029843517, 0.18386725, -1.9499238, 1.1600137, -0.5286846, 1.1716418, -0.6161477, 1.0712315, -0.020153295, -0.5803349, 0.2971307, -0.43984693, -1.138487, -0.35099158, -1.1653055, 0.44787347, -0.6269671, 1.1421862, -1.612988, -0.334858, -0.9298165, -0.25330988, 0.63675064, 0.29497394, -1.4699531, -0.522235, -0.71020967, 0.35284972, 0.35362467, -0.2542928, 1.8738804, 1.176966, 0.06316982, 0.2901815, -1.6585591, -0.19158517, 0.14887246, -2.1035442, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[C-]#[36S+],Drozdovskaya et al. (18),1.40E+13,13.14612804,"[0.6782115, 0.3715282, 2.2669625, -0.6108184, -0.16065031, 0.1119389, -0.49385506, 0.6225596, 2.6898708, 1.1380582, -0.12361883, 0.20163132, 0.19523343, -0.390958, 1.0306313, -0.02739913, 0.14393884, 0.36056262, 3.0141206, 1.0385231, -0.56645405, 0.17405407, -0.12485057, -0.1149866, 1.0890579, 0.060486645, 0.31508967, 1.35667, 0.3814726, -0.6708506, 0.9490848, -0.012849025, 0.029843517, 0.18386725, -1.9499238, 1.1600137, -0.5286846, 1.1716418, -0.6161477, 1.0712315, -0.020153295, -0.5803349, 0.2971307, -0.43984693, -1.138487, -0.35099158, -1.1653055, 0.44787347, -0.6269671, 1.1421862, -1.612988, -0.334858, -0.9298165, -0.25330988, 0.63675064, 0.29497394, -1.4699531, -0.522235, -0.71020967, 0.35284972, 0.35362467, -0.2542928, 1.8738804, 1.176966, 0.06316982, 0.2901815, -1.6585591, -0.19158517, 0.14887246, -2.1035442, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C=S,Drozdovskaya (18),1.30E+15,15.11,"[-1.2388573, 0.66435623, 1.340613, -1.5819569, 0.5805816, -1.0966835, -0.53774464, 0.08517107, 0.9387175, 0.8589106, 1.8318535, -0.17986533, 0.35092968, 0.6227964, -0.02561292, -0.68927103, -0.96473765, -0.56639695, 2.7199697, -0.6496668, -0.7210771, 0.24670774, -0.52272636, -0.6355293, 0.77514535, -0.2468585, -0.3175429, 1.9844438, 0.34880185, -1.3857982, 1.4866494, -0.8899219, 0.9846005, -0.05202204, 0.34621048, -0.9990332, -1.1571355, -0.47890425, -0.55673796, -0.17859644, -0.12835921, -1.0527141, 0.72340405, -1.1986793, 0.95094115, -1.0633676, 0.8198043, -0.6763394, -0.705547, 1.1053972, -0.7804949, -0.20322728, -0.56539834, 1.9798846, 0.5036312, 0.5290752, -1.3341379, 1.0449078, 0.22804841, 0.3356797, -1.1373804, 0.0829007, 1.8406422, 2.0770526, 0.651262, -1.3253179, 1.5755215, 0.3360524, -0.69545513, -0.62797856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[C-]#[33S+],Drozdovskaya et al. (18),8.00E+13,13.90308999,"[-1.2388573, 0.66435623, 1.340613, -1.5819569, 0.5805816, -1.0966835, -0.53774464, 0.08517107, 0.9387175, 0.8589106, 1.8318535, -0.17986533, 0.35092968, 0.6227964, -0.02561292, -0.68927103, -0.96473765, -0.56639695, 2.7199697, -0.6496668, -0.7210771, 0.24670774, -0.52272636, -0.6355293, 0.77514535, -0.2468585, -0.3175429, 1.9844438, 0.34880185, -1.3857982, 1.4866494, -0.8899219, 0.9846005, -0.05202204, 0.34621048, -0.9990332, -1.1571355, -0.47890425, -0.55673796, -0.17859644, -0.12835921, -1.0527141, 0.72340405, -1.1986793, 0.95094115, -1.0633676, 0.8198043, -0.6763394, -0.705547, 1.1053972, -0.7804949, -0.20322728, -0.56539834, 1.9798846, 0.5036312, 0.5290752, -1.3341379, 1.0449078, 0.22804841, 0.3356797, -1.1373804, 0.0829007, 1.8406422, 2.0770526, 0.651262, -1.3253179, 1.5755215, 0.3360524, -0.69545513, -0.62797856, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
[2H]C=S,Drozdovskaya et al. (18),1.50E+14,14.17609126,"[-1.2388573, 0.66435623, 1.340613, -1.5819569, 0.5805816, -1.0966835, -0.53774464, 0.08517107, 0.9387175, 0.8589106, 1.8318535, -0.17986533, 0.35092968, 0.6227964, -0.02561292, -0.68927103, -0.96473765, -0.56639695, 2.7199697, -0.6496668, -0.7210771, 0.24670774, -0.52272636, -0.6355293, 0.77514535, -0.2468585, -0.3175429, 1.9844438, 0.34880185, -1.3857982, 1.4866494, -0.8899219, 0.9846005, -0.05202204, 0.34621048, -0.9990332, -1.1571355, -0.47890425, -0.55673796, -0.17859644, -0.12835921, -1.0527141, 0.72340405, -1.1986793, 0.95094115, -1.0633676, 0.8198043, -0.6763394, -0.705547, 1.1053972, -0.7804949, -0.20322728, -0.56539834, 1.9798846, 0.5036312, 0.5290752, -1.3341379, 1.0449078, 0.22804841, 0.3356797, -1.1373804, 0.0829007, 1.8406422, 2.0770526, 0.651262, -1.3253179, 1.5755215, 0.3360524, -0.69545513, -0.62797856, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0]"
O=S,Drozdovskaya (18),4.40E+14,14.64,"[-1.1949636, -0.20450902, 1.0800139, -0.59290874, 1.0774766, -1.0363009, -1.0616316, -0.1723475, 0.549117, 0.7571333, 1.1304176, -0.20223895, 0.14476377, -0.18134436, 1.1982734, -0.2642065, -0.1647566, -0.12535165, 2.6167736, -0.07576814, 0.31094792, 1.531507, 0.19290957, -0.37682745, -0.688773, -0.008094311, -0.76847345, 1.1021568, 0.19959742, -0.27758896, 0.27135524, -1.4591936, 1.663803, -0.62434924, 0.66664433, -0.8284435, -1.3543153, 0.69888604, -0.3084691, 0.112544596, -0.5738598, -1.8087746, 0.70177937, -1.4608792, 0.8512453, -1.1497834, 0.5546408, -1.2858582, -1.0913849, 1.6974809, -0.48813117, -0.012046106, -0.0023179352, 1.4331479, 0.35354596, 0.30265135, -1.2197633, 0.25151575, -0.013927251, 0.038096428, -1.3487412, 0.6123662, 0.4930876, 1.3008403, 0.69407, -1.8025353, 1.1386762, 0.3167193, -0.07127488, -0.22776328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CCl,Fayolle et al. (17),4.60E+14,14.66,"[-0.06952669, -0.40283212, -0.5937706, 0.06765951, 2.1117969, -0.052458197, -1.0273349, 0.60010606, 0.6051678, 1.4449964, 1.2723858, -0.2139343, 0.8982214, -0.2280086, 0.25702494, 0.46723977, -1.4437932, 0.120549574, 1.4990516, 0.2303147, -0.5446901, 0.2774716, 0.102887236, -0.25759667, -0.011269018, -0.34404695, -0.79859906, 0.6049307, 0.48483077, -0.06616682, 0.8153974, -0.9038346, -0.18430202, -1.4661449, -0.9236541, -1.4160267, -0.41347498, 1.4987832, -0.6167798, -0.39553446, -0.6797439, -1.2525396, -0.056115407, 0.5294469, 0.32607335, 0.017061174, 1.5558859, -0.9688152, 0.7526123, 0.29685652, -0.07283722, -0.8050274, 0.07241467, 0.60324425, 0.7625944, 0.20685348, -1.4366404, 0.97356176, -0.039727632, -0.79369783, -0.7885046, 1.0631263, 0.44697827, 1.2695554, -0.14895394, 0.14141047, 0.5820449, 0.46400392, 0.055425018, -0.6839698, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C[37Cl],Fayolle et al. (17),2.20E+14,14.34242268,"[-0.06952669, -0.40283212, -0.5937706, 0.06765951, 2.1117969, -0.052458197, -1.0273349, 0.60010606, 0.6051678, 1.4449964, 1.2723858, -0.2139343, 0.8982214, -0.2280086, 0.25702494, 0.46723977, -1.4437932, 0.120549574, 1.4990516, 0.2303147, -0.5446901, 0.2774716, 0.102887236, -0.25759667, -0.011269018, -0.34404695, -0.79859906, 0.6049307, 0.48483077, -0.06616682, 0.8153974, -0.9038346, -0.18430202, -1.4661449, -0.9236541, -1.4160267, -0.41347498, 1.4987832, -0.6167798, -0.39553446, -0.6797439, -1.2525396, -0.056115407, 0.5294469, 0.32607335, 0.017061174, 1.5558859, -0.9688152, 0.7526123, 0.29685652, -0.07283722, -0.8050274, 0.07241467, 0.60324425, 0.7625944, 0.20685348, -1.4366404, 0.97356176, -0.039727632, -0.79369783, -0.7885046, 1.0631263, 0.44697827, 1.2695554, -0.14895394, 0.14141047, 0.5820449, 0.46400392, 0.055425018, -0.6839698, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
C=CC=O,Manigand et al. (20),3.40E+14,14.53,"[-5.7632194, 0.28119725, 0.1306507, -2.9283888, 4.2700896, 2.314621, -4.933164, 0.79149675, 2.9075074, 1.5027239, 2.296246, -0.08210662, 0.36257985, 3.5960903, 4.161866, 0.056543216, -5.727114, 2.8364432, 2.4005535, -1.5198575, -1.3566769, -1.1951568, 1.8579824, -0.49839595, -3.4187546, -1.6333048, -1.947998, 3.9720416, -0.14949232, -3.0413072, 0.4581341, -2.419722, -0.42774084, 0.4378121, -2.0105639, -0.6991775, -3.508596, 1.7574104, -1.181258, -0.53948855, 0.86105865, -4.7761316, 0.30018538, -3.8641372, 2.027767, -2.8366067, 5.9884295, 0.7313808, -0.076767124, 0.42531973, -3.1390612, -2.0128293, 1.8314011, 3.446712, 3.9612336, 2.7403605, -3.2150092, -1.8632059, 0.11693022, -1.5295448, 0.87555623, -0.06638971, 1.8692188, 3.5017447, -1.9474663, -0.0065775514, 0.77371967, 0.039572507, -2.2376766, -1.0845872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
C=CC,Manigand et al. (20),4.20E+16,16.62,"[-3.142677, 0.45593625, 0.9588221, -1.4024658, 3.0899782, 1.1873087, -3.2533746, 0.386155, 1.3780916, 1.4193075, 2.3957126, 0.4449974, 0.8742292, 1.861173, 2.5205605, 0.4469332, -4.02101, 1.8653483, 1.8442833, -1.8660859, -1.5023173, -1.1030177, 0.6121769, 0.63316214, -1.9922076, -2.1153283, -0.3735595, 3.343078, 1.0085908, -2.5577192, 1.6454768, -1.4319319, 0.07884598, -0.6861087, -1.5086035, -0.07732756, -1.9284182, 0.9434936, -1.671742, -0.39612347, -0.21498534, -1.9571888, 1.4100213, -2.0503745, 1.1612033, -1.5652071, 4.4175887, 0.38516313, 0.84709954, 0.4767046, -2.1205935, -0.82247096, 0.8605217, 2.8271663, 2.73139, 2.3504057, -2.0943432, 0.49901232, 0.46122065, -1.41799, -0.58502114, 0.8417169, 1.9765334, 3.6461942, -0.15073134, 0.18294609, 2.26429, 1.0260518, -0.8672191, -1.0018222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
C#CC,Calcutt et al. (19),1.10E+16,16.04,"[0.3160141, 1.5642866, 1.9347484, -0.55081606, 2.7328758, -1.1517146, -2.5601838, 2.4184856, 2.5202901, 0.10289563, 2.589396, -1.3852551, 2.600799, 1.9883022, 2.802094, 0.73903906, -3.6054516, 1.2374897, 2.0280807, 0.41033983, -0.29822418, 0.2973127, 0.76800346, 2.509693, -3.9062204, -3.0888214, -0.6662866, 4.5524454, 5.1346307, -0.58361936, 2.2665205, -1.9138757, -0.9543618, -0.074843936, 0.2100456, 0.8853544, -2.7885318, 4.0503654, -2.2107399, 0.48327476, -0.1457022, -0.63096136, 0.63339347, 0.5693702, 1.665483, -1.5263395, 1.125804, -0.44704685, 0.23115484, 1.7242405, 0.5442821, -1.5864749, 1.5092858, -0.9812052, 2.8570786, 0.3807574, -3.7547584, -0.85095894, -5.0188184, 0.50177896, 1.3783954, 0.5532981, 4.564292, 6.769327, 0.09334275, -0.88367605, -2.518611, 2.5111086, -2.6932654, 0.5064864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
CCOC,Manigand et al. (20),1.80E+16,16.26,"[-0.23399766, 0.97853434, 0.07944946, 0.59402955, 8.816753, 0.017411739, -2.189333, -0.89732146, 1.4244313, 2.1286001, 3.003467, -1.1457661, 1.2881156, 1.8038988, 2.7149558, 1.5634255, -6.975689, 0.68518966, 3.1135368, -0.6589738, -1.0710487, -0.18208075, 3.3086927, 0.52801687, -4.562707, -2.6196833, -2.6083858, 1.8936213, 4.5005765, -0.5749345, 1.4148294, -4.817926, 0.13313232, -3.6845942, -0.6139411, -0.16495743, -4.321633, 2.3070402, -2.0341694, 0.9036323, 0.91089284, -1.3638785, -0.95162874, 0.18384543, 2.4574573, -1.822311, 3.74867, -0.4849068, 0.8796538, 0.12490287, -2.4860823, -0.11758769, 0.46879914, -0.04676918, 1.9714673, -0.051674113, -0.33729726, -1.4482049, -1.4476663, -1.9226348, -1.7484821, 0.38291866, 1.5111622, 6.7265854, -0.9821182, -0.33294937, 0.7819122, 3.3179502, 0.24620058, 3.6506312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
O=CC=CO,Coutens et al. (22),1.00E+15,15,"[-7.586752, -0.35837653, -0.7771295, -2.9906983, 4.9630637, 2.0340843, -6.6391573, 0.99845994, 3.4941418, 2.6527839, 1.4991359, -0.41839737, 0.65273196, 2.4439173, 6.5212183, 0.92237246, -5.4520087, 3.3460689, 3.099032, -1.3184171, 0.29621887, -1.0826023, 4.9619823, -1.3316871, -6.656251, -2.5650454, -3.4583228, 4.931287, 1.2205582, -1.5392047, -0.26511723, -3.0849752, -1.2007612, 0.31905594, -4.310193, -1.6697634, -2.65062, 3.5098302, -0.38270038, 0.29118317, 1.173767, -7.148849, -0.92911005, -4.9451437, 2.956463, -4.2194467, 6.157879, 0.99532646, 1.4470261, 2.2275043, -1.8509685, -1.9185979, 3.1745381, 3.3716636, 4.973633, 2.2179532, -5.2136436, -1.7828755, 0.09502718, 0.2948645, 0.608125, 0.8367967, 1.5535772, 4.3101983, -3.2907722, -0.54651445, -1.3252999, -0.32342237, -1.0224582, -1.479892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0]"
CN=C=O,Ligertink et al. (2017) (make sure correct),4.00E+15,15.6,"[1.4263514, 0.921404, 2.1009543, -2.0346017, 7.1542683, -1.1662381, -4.8517637, 2.6509416, 5.1845436, -0.10268038, 4.591727, -2.3939323, 1.2652949, 0.54352975, 3.7178743, -3.4425926, -2.2923276, 1.4785398, 1.8281898, -1.3095685, -1.2984202, 0.89817, -0.034904987, 1.121904, -3.9177437, -2.4162107, -4.0475597, 2.8772326, 3.3032053, -1.8715572, 0.20254348, -5.0046034, 2.479788, -0.68667597, -1.4594737, -0.105354264, -1.7321279, 3.2159634, -1.9417931, 0.2991438, 0.62919927, -2.7181463, -1.5286648, -0.036348477, 1.2513602, -5.6873074, 4.345044, -1.0203434, -0.9352716, 4.1029897, 1.909455, 0.4435513, 1.9958993, 2.2764788, 2.4124918, -0.10053222, -2.997332, 1.2064271, -2.7833889, -0.35169083, -0.09938377, 0.7372618, 1.3342178, 5.7586656, -2.2534697, -2.8869019, -0.7946678, 1.4323685, 0.13214692, -1.6015, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
CCC#N,Calcutt et al. (2018b),3.60E+15,15.56,"[1.2017933, 2.5378642, -0.23101243, -1.1029795, 5.074832, 0.6395532, -3.9606724, 0.6854403, 4.160387, 3.1087723, 2.9716916, -0.72230536, 1.4680839, 3.5793028, 3.8806913, 0.8715793, -4.5196958, 0.86795914, 3.2931004, 0.7088347, -0.92059946, 0.2646568, 2.6131237, 1.780185, -4.9247317, -4.77727, -3.3467393, 2.8081923, 4.811631, -0.39665008, 2.7405496, -3.364184, -1.856221, -1.3383087, -1.4120082, 1.8008962, -4.425637, 4.9282846, -1.9719834, 0.9404968, -1.4871497, -1.2290581, 0.05833143, 0.64001167, 2.076191, -1.919644, 2.0213575, -2.867699, 0.21555752, 2.176449, -2.127129, -1.8093588, 3.0733116, 0.17963427, 2.2720358, -0.7368289, -1.8063698, -0.8514532, -3.2973576, -1.453811, 0.020254366, 0.17298706, 3.7895646, 7.941146, 0.69571847, -1.5385576, -3.729874, 0.9985051, -2.1191952, 2.9289296, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
C=CC#N,Calcutt et al. (2018b),7.40E+14,14.87,"[-3.1890066, 1.7893735, 1.3352102, -2.650023, 3.55966, 1.0344043, -5.1951013, 0.19540074, 3.6375463, 1.901383, 3.2313857, 0.15260488, 1.7518171, 4.961485, 5.159435, -0.44516465, -4.4607067, 2.3779254, 3.425601, -0.44587457, -2.4111555, -0.9589638, 1.4980981, 1.0359356, -2.0887237, -3.5764165, -2.625144, 4.1599627, 1.5825504, -3.848673, 2.8966365, -1.7001798, -2.4620101, -0.26864785, -2.4118905, 1.0552175, -4.573586, 3.7944381, -2.1912966, -0.18294501, -0.8147853, -2.5393515, 1.226754, -0.6928662, 1.9977994, -1.4636037, 2.9901175, -3.546623, 0.89407617, 2.2160988, -3.1318145, -2.4822578, 2.682289, 2.5117843, 3.664888, 1.7449157, -2.013197, -0.07408063, -1.8368368, -2.113964, 1.4491116, -0.5434648, 4.2361236, 5.4221683, -0.5124116, -0.66846824, -3.1988862, -0.32179877, -3.2340543, -0.14513701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
C=C=O,Jorgensen et al. (18),4.80E+16,16.68,"[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[2H]C=C=O,Jorgensen et al. (18),2.00E+15,15.30103,"[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 0]"
[13CH2]=C=O,Jorgensen et al. (18),7.10E+14,14.85125835,"[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0]"
C=[13C]=O,Jorgensen et al. (18),7.10E+14,14.85125835,"[-0.4177385, 1.9045112, 2.1475246, -2.2495484, 4.627482, 0.32667834, -3.8715913, 1.988004, 3.0406175, 0.79359376, 3.2580266, -0.8923757, 1.5855095, 3.0138261, 3.583942, -1.3183863, -0.7524767, 0.7956617, 0.7898937, -1.1735001, -2.6108055, 1.3047733, -0.8768008, 1.1810762, -1.8900357, -0.14309788, -2.1736405, 2.9567142, 1.7063636, -2.2605906, 0.74932694, -2.0205498, 0.6466799, 0.20776898, 0.3097753, -0.08986828, -1.5452869, 2.5997126, -1.3746346, 0.8400297, 1.3685254, -2.2126071, 0.5599509, -1.0352261, 0.70018727, -1.4944407, 4.800615, -1.3694254, -0.5885193, 2.0252311, -0.23335797, 0.02798301, 1.058179, 2.0187519, 2.5381918, -0.17332275, -3.2247438, -0.24875218, -2.7183332, -0.5902235, 0.68621653, -0.6530325, 2.843518, 3.2856715, -0.49458948, -2.5058968, 0.1822406, -0.9708715, -1.2381405, -2.233842, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 3, 0, 0, 0]"
O=NO,Coutens et al. (19),9.00E+14,14.95,"[-3.3285553, 0.8857641, 0.4385534, -1.6608123, 2.2697577, -0.38135636, -5.3052316, 2.146947, 4.1628394, -0.6649455, 2.531152, -1.125809, 0.44895807, 0.30964437, 1.896449, -2.5393019, -2.3782983, 2.1150985, 3.934679, -0.7732538, 1.3591082, -0.47044626, 1.4040657, -0.11366249, -3.0462897, -1.2490606, -1.1996312, 0.4813996, 1.8679603, -0.3495314, -1.1910013, -3.8392804, 0.5459402, -1.6022748, -0.6363451, 0.42899722, -0.7431474, 1.4542229, -0.8791187, -0.073412344, -0.45697534, -1.4065876, -1.3334005, 0.15798932, 0.77662814, -3.0942974, 4.7180214, -2.1129804, 0.7804094, 3.3973303, 0.16562569, 0.82958055, 1.1772937, 0.47720283, 1.443511, -2.108344, -2.5628622, 0.41694754, 1.5349295, -0.94301146, -1.3643363, 2.410459, -0.31054676, 3.4787502, -1.6495079, -1.5547762, -0.16594195, -0.0005457194, 0.9166396, -1.4434748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
[N]=O,Ligertink et al. (2017b),2.00E+16,16.3,"[-0.6009863, 0.76512045, 0.5291988, -0.43983278, 1.1915954, 0.10996631, -1.3841308, -0.11203441, 1.6617815, 0.95995176, 0.79112846, 0.17410079, 0.51562035, 0.4468214, 2.0138335, -0.44497308, -0.5895537, 0.7424158, 1.7209895, 0.18296918, -0.41170114, 0.44691077, 0.6299817, 0.06621562, -1.1869295, -1.0666629, -1.1796595, 0.9144087, 0.7890576, -0.77461815, 0.36934125, -1.2976309, -0.13500689, -0.33282584, -0.66608614, 1.0222187, -1.6321704, 2.0706408, -0.399969, 0.16984405, -0.59795696, -0.82045287, 0.84992206, -0.121917695, -0.06712192, -0.6789145, 0.68404937, -1.3698553, -0.41218546, 1.4832416, -0.6024103, -0.6468375, 0.742288, 0.112485975, 0.53664, 0.16586597, -1.0489476, -0.9937345, -0.8159342, -0.48183927, 0.020904332, -0.2995681, 1.3392484, 1.2801285, 0.3164485, -0.044912122, -1.5125996, -0.42045325, -1.0826421, 0.020706266, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CC(N)=O,Ligertink et al. (2018),9.00E+14,14.95,"[-2.5569286, -0.85687035, -0.20885377, -1.1873785, 4.0933404, -1.4025781, -2.5289798, 0.67848676, 3.0263171, 1.7961856, 5.74008, -1.3173193, 3.5071182, 0.7494325, 4.708583, -0.8216307, -4.4474525, 1.6290118, 4.671252, -0.9854398, -1.4484553, 1.0478526, 2.1615558, -0.50942534, -1.5425678, -4.296492, -1.0418043, 0.47588134, 3.7204359, 0.73337305, -0.7262535, -4.4427495, 1.0451367, -3.3594823, 1.7005286, -0.9824329, -3.2668266, 1.9268835, 0.6578394, 1.4854212, -2.1396496, -1.5799075, 0.20678103, 0.058364138, 2.1509953, -1.9870057, 5.0412455, -0.7310815, 2.0880632, 1.6207557, -2.1919904, -0.34690553, 0.83790684, 0.36854926, 2.0900533, 1.2724106, -2.394305, -1.3897663, -0.6005274, -1.4039329, -2.4352582, 1.1481526, 2.2075806, 4.2933536, -0.29615608, -1.9588083, 0.72138184, 0.43081522, -1.3460424, -0.8019432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
