smiles,prediction,sd,num c,num h,num s ,num o,num n,heavy atoms,dou,mass
N#CCC#N,15.78432096,1.591554903,3,2,0,0,2,5,4,66.063
CC(=O)CO,15.7838101,1.827765607,3,6,0,2,0,5,1,74.079
C=CO,15.77497749,1.420608618,2,4,0,1,0,3,1,44.053
OC=CC=CCO,15.73057334,1.72951268,5,8,0,2,0,7,2,100.117
C=CCO,15.67438531,1.265114429,3,6,0,1,0,4,1,58.08
CCCC=O,15.64135332,1.26152656,4,8,0,1,0,5,1,72.107
C=C(N)O,15.63984543,1.8569024,2,5,0,1,1,4,1,59.068
CC(=O)/C=C\O,15.63938609,1.927302269,4,6,0,2,0,6,2,86.09
CC=CCC,15.63789457,1.625371136,5,10,0,0,0,5,1,70.135
CCOCCO,15.60690526,1.712443854,4,10,0,2,0,6,0,90.122
COC/C=C\C=O,15.60112872,1.952639015,5,8,0,2,0,7,2,100.117
N#CCO,15.58545155,1.074212358,2,3,0,1,1,4,2,57.052
N#CCCO,15.57755204,1.200249599,3,5,0,1,1,5,2,71.079
OCCCO,15.53477308,0.965979018,3,8,0,2,0,5,0,76.095
O/C=C\C=C/O,15.52440929,1.285298779,4,6,0,2,0,6,2,86.09
[S-2],15.50433754,1.473440583,0,0,1,0,0,1,1,32.067
C=CCC=O,15.50076135,1.593707988,4,6,0,1,0,5,2,70.091
CCCCOC,15.49469962,1.913112695,5,12,0,1,0,6,0,88.15
C=C(O)O,15.4799806,1.977285914,2,4,0,2,0,4,1,60.052
OS,15.46685156,1.234857528,0,2,1,1,0,2,0,50.082
C=COCC,15.46417413,1.917561641,4,8,0,1,0,5,1,72.107
CCCOCO,15.46394204,1.709603308,4,10,0,2,0,6,0,90.122
CCOCC,15.43995678,1.467580574,4,10,0,1,0,5,0,74.123
CCOCC=O,15.41526404,1.940555405,4,8,0,2,0,6,1,88.106
N#C/C=C\CO,15.41036854,1.837585117,4,5,0,1,1,6,3,83.09
O=C/C=C\CO,15.39421063,1.33953712,4,6,0,2,0,6,2,86.09
O=S=CO,15.38556459,1.739240255,1,2,1,2,0,4,1,78.092
CC(C)=S=O,15.36209012,1.863228464,3,6,1,1,0,5,1,90.147
C=CCCO,15.35656179,1.521234746,4,8,0,1,0,5,1,72.107
CC=S=O,15.35299891,1.811362006,2,4,1,1,0,4,1,76.12
C1COCO1,15.34877786,1.627560214,3,6,0,2,0,5,1,74.079
N#CCCC=O,15.34743417,1.875023002,4,5,0,1,1,6,3,83.09
O=S=C=S,15.3453958,1.576491896,1,0,2,1,0,4,2,92.144
CCCC,15.34513115,1.39324136,4,10,0,0,0,4,0,58.124
C=C=S,15.32883485,1.423228468,2,2,1,0,0,3,2,58.105
O=CCCCO,15.30465514,1.619053276,4,8,0,2,0,6,1,88.106
C/C=C/C=C\O,15.28110777,1.37414927,5,8,0,1,0,6,2,84.118
N#CC=O,15.27480218,1.353875458,2,1,0,1,1,4,3,55.036
C=CC=C=O,15.25682938,1.982832816,4,4,0,1,0,5,3,68.075
CCC(C)=O,15.2455856,1.740287206,4,8,0,1,0,5,1,72.107
N#CC#N,15.23205039,1.794455193,2,0,0,0,2,4,4,52.036
O=C/C=C\CC=O,15.22058705,1.927119525,5,6,0,2,0,7,3,98.101
N#CCC=O,15.21905658,1.437227465,3,3,0,1,1,5,3,69.063
N#C/C=C\O,15.20420423,1.317186088,3,3,0,1,1,5,3,69.063
O=C/C=C\O,15.18804624,0.558918298,3,4,0,2,0,5,2,72.063
N=O,15.13933189,1.487454302,0,1,0,1,1,2,1,31.014
NN,15.13021734,1.454099127,0,4,0,0,2,2,0,32.046
COC(C)=O,15.12043094,1.696845801,3,6,0,2,0,5,1,74.079
CC(=O)C=O,15.0971591,1.971658395,3,4,0,2,0,5,2,72.063
CCCOCC,15.08056618,1.714944898,5,12,0,1,0,6,0,88.15
O=CC=CCCO,15.07638655,1.821956193,5,8,0,2,0,7,2,100.117
N#CCOCO,15.06775656,1.897569707,3,5,0,2,1,6,2,87.078
N=C=S=C=O,15.05301855,1.672641136,2,1,1,1,1,5,3,87.103
CCCC#N,15.05121272,1.265872166,4,7,0,0,1,5,2,69.107
CC=C/C=C\C,15.03780643,1.940125201,6,10,0,0,0,6,2,82.146
CCCCO,15.00843356,1.289137807,4,10,0,1,0,5,0,74.123
COCC(=O)O,14.97473048,1.957435316,3,6,0,3,0,6,1,90.078
CC(=O)CCO,14.96427722,1.687095081,4,8,0,2,0,6,1,88.106
CC=CC#N,14.96090269,1.65382556,4,5,0,0,1,5,3,67.091
C=S=O,14.96066057,1.689503544,1,2,1,1,0,3,1,62.093
C#[SH],14.95244379,1.046405685,1,2,1,0,0,2,1,46.094
CC=CC=O,14.94474494,1.055810027,4,6,0,1,0,5,2,70.091
C1COC1,14.92256944,0.867783127,3,6,0,1,0,4,1,58.08
NC=CCO,14.91421672,1.745522378,3,7,0,1,1,5,1,73.095
C=C/C=C\CO,14.86519626,1.70767652,5,8,0,1,0,6,2,84.118
O=CC=O,14.85168318,1.246535503,2,2,0,2,0,4,2,58.036
C=CCCC,14.83022172,1.689047188,5,10,0,0,0,5,1,70.135
N#CC=S=O,14.77936676,1.734965675,2,1,1,1,1,5,3,87.103
CCCCC=O,14.77831578,1.82778261,5,10,0,1,0,6,1,86.134
N/C=C/CC=O,14.74059281,1.8858704,4,7,0,1,1,6,2,85.106
N#CCCCO,14.71451417,1.601615841,4,7,0,1,1,6,2,85.106
NC=CO,14.70805198,1.462919703,2,5,0,1,1,4,1,59.068
CC(=O)C#N,14.69970831,1.911157594,3,3,0,1,1,5,3,69.063
CC(=O)OCO,14.68676007,1.961822985,3,6,0,3,0,6,1,90.078
CCOCC#N,14.68438096,1.888679963,4,7,0,1,1,6,2,85.106
C#CCOC,14.68363281,1.975471142,4,6,0,1,0,5,2,70.091
OCCCCO,14.67173528,1.664141368,4,10,0,2,0,6,0,90.122
C=CC=CO,14.65903203,1.244259334,4,6,0,1,0,5,2,70.091
CC/C=C\C=C/O,14.6508035,1.733720613,6,10,0,1,0,7,2,98.145
C=C=S=O,14.62685171,1.688691885,2,2,1,1,0,4,2,74.104
C=C=C,14.60264473,1.717588053,3,4,0,0,0,3,2,40.065
N/C=C/CCO,14.59639287,1.917372979,4,9,0,1,1,6,1,87.122
C=CCC,14.59461535,1.271842473,4,8,0,0,0,4,1,56.108
N[SH]=O,14.58235526,1.982864442,0,3,1,1,1,3,0,65.097
CC(N)=S=O,14.55362916,1.823248277,2,5,1,1,1,5,1,91.135
CCCC=CC=O,14.55004707,1.839085157,6,10,0,1,0,7,2,98.145
C#CCC#N,14.50640158,1.878602639,4,3,0,0,1,5,4,65.075
C=CCCCO,14.49352404,1.944022561,5,10,0,1,0,6,1,86.134
CCCCC,14.48209327,1.795452766,5,12,0,0,0,5,0,72.151
O=CC=S=O,14.47099325,1.829614799,2,2,1,2,0,5,2,90.103
CC(=O)OCCO,14.47033236,1.976886682,4,8,0,3,0,7,1,104.105
C/C=C/N,14.46475086,1.593766923,3,7,0,0,1,4,1,57.096
CCCC(C)=O,14.43793746,1.867700145,5,10,0,1,0,6,1,86.134
C=CC=CC,14.4157309,1.349070838,5,8,0,0,0,5,2,68.119
NS,14.40962045,1.496614071,0,3,1,0,1,2,0,49.098
C=CCC#N,14.4079251,1.774733704,4,5,0,0,1,5,3,67.091
C=CC(C)=O,14.40535145,1.990493757,4,6,0,1,0,5,2,70.091
C#CCC,14.37232349,1.286219711,4,6,0,0,0,4,2,54.092
CC(O)=S=O,14.36357684,1.88087607,2,4,1,2,0,5,1,92.119
CCC=CC#N,14.33059868,1.837954893,5,7,0,0,1,6,3,81.118
CC/C=C\C=O,14.31444066,1.342629882,5,8,0,1,0,6,2,84.118
C#CCO,14.30753254,1.365574761,3,4,0,1,0,4,2,56.064
CCOC(C)=O,14.30338508,1.963834243,4,8,0,2,0,6,1,88.106
